ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Εκπαίδευσης και Αγωγής στην Προσχολική Ηλικία;Αθήνα;14.800
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Χημείας;Καβάλα;14.788
ΠΥΡΟΣΒΕΣΤΙΚΗ ΑΚΑΔΗΜΙΑ (ΣΠΑ) Αξιωματικών Πυροσβεστικής Ακαδημίας (Μόνο για Πυροσβέστες) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);14.750
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ Επιστήμης Τροφίμων και Διατροφής του Ανθρώπου;Αθήνα;14.720
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Παιδαγωγικό Δημοτικής Εκπαίδευσης;Ιωάννινα;14.600
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Εργοθεραπείας;Αιγάλεω;14.530
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Επιστημών της Εκπαίδευσης και Κοινωνικής Εργασίας;Πάτρα;14.520
"ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Μουσικών Σπουδών Ειδικά Μαθήματα: «Μουσική Εκτέλεση και Ερμηνεία» και «Μουσική Αντίληψη Θεωρία και Αρμονία».";Αθήνα;14.510
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Φυσικοθεραπείας;Πάτρα;14.441
ΣΧΟΛΗ ΑΞΙΩΜΑΤΙΚΩΝ ΝΟΣΗΛΕΥΤΙΚΗΣ (ΣΑΝ) Αξιωματικών Νοσηλευτικής (ΣΑΝ) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);14.425
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Νοσηλευτικής;Αθήνα;14.375
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Βιοϊατρικών Επιστημών;Θεσσαλονίκη;14.365
"ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Μουσικών Σπουδών Ειδικά Μαθήματα: «Μουσική Εκτέλεση και Ερμηνεία» και «Μουσική Αντίληψη Θεωρία και Αρμονία».";Θεσσαλονίκη;14.310
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Γεωπονίας;Θεσσαλονίκη;14.290
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Επιστημών Διατροφής και Διαιτολογίας;Θεσσαλονίκη;14.210
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Επιστημών Προσχολικής Αγωγής και Εκπαίδευσης;Θεσσαλονίκη;14.175
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Φυσικοθεραπείας;Λαμία;14.140
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Βιοϊατρικών Επιστημών;Αιγάλεω;14.110
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Επιστήμης Φυσικής Αγωγής και Αθλητισμού Εξέταση σε αγωνίσματα;Σέρρες;13.945
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Επιστήμης και Τεχνολογίας Τροφίμων;Αιγάλεω;13.850
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Μηχανικών Βιοϊατρικής;Αιγάλεω;13.665
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ Παιδαγωγικό Δημοτικής Εκπαίδευσης;Ρέθυμνο;13.625
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Επιστήμης Φυσικής Αγωγής και Αθλητισμού Εξέταση σε αγωνίσματα;Κομοτηνή;13.444
