ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Ηλεκτρολόγων Μηχανικών και Τεχνολογίας Υπολογιστών;Πάτρα;16.470
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ Βιολογίας;Ηράκλειο;16.465
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Χημείας;Πάτρα;16.420
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Αρχιτεκτόνων Μηχανικών Ειδικά μαθήματα: Ελεύθερο και Γραμμικό Σχέδιο;Βόλος;16.400
ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ (ΠΑΜΑΚ) Εφαρμοσμένης Πληροφορικής - Πληροφοριακά Συστήματα;Θεσσαλονίκη;16.375
ΣΧΟΛΗ ΙΚΑΡΩΝ (ΣΙ) Ικάρων (ΣΙ) Ελεγκτές Αεράμυνας Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);16.340
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Βιολογικών Εφαρμογών και Τεχνολογιών;Ιωάννινα;16.270
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Μηχανολόγων Μηχανικών;Βόλος;16.230
ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ Πληροφορικής και Τηλεματικής;Αθήνα;16.170
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Παιδαγωγικό Δημοτικής Εκπαίδευσης;Θεσσαλονίκη;16.100
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Παιδαγωγικό Δημοτικής Εκπαίδευσης;Αθήνα;16.100
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Βιοχημείας και Βιοτεχνολογίας;Λάρισα;16.080
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Αρχιτεκτόνων Μηχανικών Ειδικά μαθήματα: Ελεύθερο και Γραμμικό Σχέδιο;Ιωάννινα;16.03
ΛΙΜΕΝΙΚΟ ΣΩΜΑ. - ΕΛΛΗΝΙΚΗ ΑΚΤΟΦΥΛΑΚΗ (ΛΣ-ΕΛΑΚΤ) Σχολή Δοκίμων Λιμενοφυλάκων Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);16.030
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ Βιοτεχνολογίας;Αθήνα;15.945
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΑ Ψηφιακών Συστημάτων;Πειραιάς;15.830
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ Επιστήμης Υπολογιστών;Ηράκλειο;15.813
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Χημικών Μηχανικών;Πάτρα;15.730
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών;Βόλος;15.725
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Χημείας;Ιωάννινα;15.720
ΠΥΡΟΣΒΕΣΤΙΚΗ ΑΚΑΔΗΜΙΑ (ΣΠΑ) Πυροσβεστών (Μόνο για Πολίτες) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);15.660
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ (ΕΜΠ) Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών;Αθήνα;15.510
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ Χημείας;Ηράκλειο;15.382
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Μηχανικών Πληροφορικής και Υπολογιστών;Αιγάλεω;15.380
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ (ΠΑΜΑΚ) Μουσικής Επιστήμης και Τέχνης Ειδικά Μαθήματα: «Μουσική Εκτέλεση και Ερμηνεία» και «Μουσική Αντίληψη, Θεωρία και Αρμονία».";Θεσσαλονίκη;15.380
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Πολιτικών Μηχανικών;Θεσσαλονίκη;15.355
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Μουσικών Σπουδών Ειδικά Μαθήματα: «Μουσική Εκτέλεση και Ερμηνεία» και «Μουσική Αντίληψη, Θεωρία και Αρμονία».";Άρτα;15.250
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Παιδαγωγικό Δημοτικής Εκπαίδευσης;Βόλος;15.200
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Μηχανικών Πληροφορικής και Ηλεκτρονικών Συστημάτων;Θεσσαλονίκη;15.030
ΣΧΟΛΗ ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΣΤΡΑΤΟΥ ΞΗΡΑΣ (ΣΜΥ) Μονίμων Υπαξιωματικών Στρατού (ΣΜΥ) - Σώματα Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);14.890
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Επιστήμης Φυσικής Αγωγής και Αθλητισμού Εξέταση σε αγωνίσματα;Τρίκαλα;14.860
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Εκπαίδευσης και Αγωγής στην Προσχολική Ηλικία;Αθήνα;14.800
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Χημείας;Καβάλα;14.788
